question,answer
asked about the control of weeds,recomended to spray pendimethalyn 1316litacre
asked about the control of sucking pest,recomended to spray dimethoate 2mllit
asked about the control of green leaf hopper in rice,recommended to spray ethopenphos15mllit
asked about the control of stem borer in rice,recommended to spray monocrotophos 16mllit
asked about the control of dieback and fruit rot,recommended to spray captan 15 grlit
asked about the control of glh,recommended to spray ethofenphos 15mllit
asked about the control of tungro virus,recommended to spray ethofenphos 15 mllit
asked about the control of green leaf hopper,recomended to spray monocrotophos 2mllit
asked about the control of sheathblight,recommended to spray hexaconozole 2 mllit
asked about the control of bph,recommended to spray bpmc 2 mllit
asked about the control of mites,recommended to spray dicofal 3mllit
asked about the control of mites,recommended to spray dicofal 3mllit
asked about the control of mites,recommended to spray dicofal 3mllit
asked about the control of suckingpest,recommended to spray borax 3gmlit
asked about the growing season and crop period of 1010 paddy variety,recommended to raise in rabi
asked about the control of suckingpest,recommended to spray borax 3gmlit
asked about the growing season and crop period of 1010 paddy variety,recommended to raise in rabi
asked about the control of sheathblight,recommended to spray validacin 2 mllit or hexaconozole 2 mllit
gonapapetanarsannapeta m,
asked about the soil type for sowing groundnut,recommended soil types are sandyred soils
asked about cm pashukranthi pathakamu,informmed to as per the provided data
asked about cm pashukranthi patakamu,informmed to as per the provided data
asked about the weather report,informed as per the provided data
asked about the control of sheath blight,recommended to spray validacin 2 mllit
asked about the weather report,informed as per the provided data
asked about the control of sheath blight,recommended to spray validacin 2 mllit
asked about the phone number of jd animal husbandry,provided him with the contact no
asked about the phone number of jd animal husbandry,provided him with the contact no
asked about the control of thrips,
asked about the control of thrips,
asked about the control of thrips,recommended to spray fasalon 3 mllit or monocrotophos 15 mllit
asked about the control of thrips,
asked about the control of thrips,
asked about the control of thrips,
asked about the control of thrips,
asked about the control of thrips,
asked about the control of thrips,
asked about the control of thrips,
asked about the control of sheathblight,recommended to spray validacin 2 mllit or hexaconozole 2 mllit
asked about the control of thrips,recommended to spray fasalon 3 mllit or monocrotophos 15 mllit
asked about the varieties,recommended varieties are igfri3808tndn1
asked about the control of midze fly in chilli,recommended to spray quinolphos 2mllit
asked about the varities,recommended varity ofgreen gold
asked about the control of cuscuta,recommended to spray persuit 200mlltr
asked about the control of mango hoppers,recommended to spray phasphomidon 05mllt
asked about the control of stem borer in maize,recommended to spray monocrotophos2mllit
asked about the control of fruit and shoot borer in brinjal,recommended to spray profinophos2mllit
asked about the control of fruit drop,recommended to apply potash and blitox 3gmltr
asked about control for flower dropping,recommended to spray planophix 1ml5lt
asked about the control of sheathblight in paddy,recommended to spray hexaconazole2mllit
asked about the control of bph in rice,recommended to spray acephate 15gmlt
asked about the control of leaf webber in mango,recommended to spray quinolphos 2mllt
asked about control for leaf folder,recommended to apply quinalphos 2mllt
asked about sowing season,recommended to give 2025cms in between the plants
asked about the control of stem borer in maize,recommended carbofuran granules3kgsacre
asked about control for thrips,recommended to spray imedachloprid 2mllt
asked about the control of smut in sugar cane,recommended to spray propiconazole05mlliter
asked about the control rot rot in ground nut,recommended to spray mancozed3gramsliter
asked about control for sucking pests,recommended to spray rogor 2mllitre
asked about control for sucking pests,recommended to spray rogor 2mllitre
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about the control of stone weevil,recommended to spray monocrotophas 16mlltr
asked about the control of fruit borer in mango,escalation to level to 2
asked about control of turcicum leaf blight,recommended to spraymancozeb 2gmlt
asked about control for rats,recommended to make the mixer of bromadiolone oil paddy mixture and put it into the hole
asked about control for powdery mildew damage,recommended to spray wettable sulpher 3grlitre
asked about the control of root rot in ground nut,recommended to spray mancozed600gramsacre
asked about the control of sheath blight,recommended to spray hexaconozole 2mlltr
asked about the control of stem borer,recommended to spray cartaphydrochloride 2 gmltr
asked about the control of blast in paddy,recommended to spreay trycyclozole06gramsliter
aske about the control of fruit drop in mango,recommended to spray planofix1mlliter
asked about bhendi varieties,recommended varieties are arkaanamika arkaabaya
asked about the control of early blight,recommended to spray mancozeb 3gmltr
asked about varieties for kharif season,recommended to choose yalamanchili 11 or 17
asked about information on sets treatment,recommended to malathion 2ml1l water soak the sets in solution for 15 min
asked about control of sheath blight,recommended to spray hexaconazole 2ml1l water
asked about control for shaeth blight,recommended to spray contoff 2mllitre
asked about control of sheath blight,recommended to spray hexaconazole 2ml1l water
asked about mite damage in coconut,recommended to spray dicofal 5mllt
asked about the control of sheath blight in paddy,recommended to spray hexaconazole2mlliter
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about the control of sheath blight in paddy,recommended to spray hexaconazole2mlliter
asked about varieties,recommended to choose hima or chandana
asked about the control of bph in paddy,recommended to spray hexacvonazole2mlliter
asked about the control of bph in paddy,recommended to spray hexacvonazole2mlliter
asked about control of termites in mango,recommended to apply lindane powder
asked about control of termites in mango,recommended to apply lindane powder
asked about control for rats damage,recommended to apply bromadioline oil mixture
asked about control for rats damage,recommended to apply bromadioline oil mixture
asked about control of sheath rot in rice,recommended to spray benomyl 2mllt
asked about control of sheath rot in rice,recommended to spray benomyl 2mllt
asked about control of fruit damage in jowar,recommended to spray endosulfan 2mllt
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about varities in sesamum,recommended varities are yelamanchili rajeswari
asked about varieties which are resistant for rice blast in kharif season,recommended to choose mtu 1001 or 1010 or 3626
asked about varieties which are resistant for rice blast in kharif season,recommended to choose mtu 1001 or 1010 or 3626
asked about varieties,recommended to choose rajeshwari or swethathil
asked about varieties,recommended to choose rajeshwari or swethathil
asked about the control of sheath blight,recommended to spray hexaconozole 2mlltr
asked about the control of sheath blight,recommended to spray hexaconozole 2mlltr
asked about varities of sesamum,recommended to swethathilrajeshwari varities
asked about varities of sesamum,recommended to swethathilrajeshwari varities
asked about the control of stem borer,recommended for the application of cartaphydrochloride 2gmltr
asked about control for pink bollworm,recommended to apply endosulfon 2mllitre
asked about the control of stem borer,recommended to spray cartaphydrochloride 2 gmltr
asked about the control of bph,recommended for the application of acephate 15 gmltr
asked about control for storage pests,recommended to apply aluminium phospide tablets
asked about control for storage pests,recommended to apply aluminium phospide tablets
asked about fruit fall in mango,recommanded to spray polyfide3gm 15ml monocrotphos in liter water
asked about bird rearing,given no 04024015323
easily pull out of sugarcane,recommanded to spray endosulphon2mllit water
asked about control for fruit borer damage,recommended to spray quinolphos 2mllitre
asked about control of stem borer in jowar,recommended to spray carbofuran 4g granules
asked about the rice varieties,recommended varieties are mtu1001apoorvaprabath
asked about control of rice stem borer,recommended to spray cartaphydrochloride 25gmlt
asked about the early sowing,esc to atic
asked about cotrol of mites,recommended to spray dicofol 2gmltwater
asked about the weedicide,recommended to spray pendimithalin 15 ltracre
asked about agriculture implements,provided him with requiqed infirmation
asked about the weedicide,recommendedweedicide is benthiocarp 15 ltracre
asked about the control of rustanthracnose,recommended to spray copperoxi chloride3glit of water
askecx about the sowing season,informed that it is june to july
asked about the varieties,recommended varieties are pkm1jafna
asked about seed treatment of turmeric,recommended to treat the seeds with mancozeb 3gmkg seed in 1 lt
asked about fertilizer dosage in oilpalm in third year,recommended to apply n2610 ssp3750 mop2000 magnesium sulphate500 gmsplant
asked about the weed control,recommended to spray atratap800gacre to be mixed in 240 lit of water
asked about control for weeds,recommended to spray 100ml glyphosate with 100gr ammonium sulphate with 10 litres of water
asked about control for sucking pests damaage,recommended to spray rogor 2mllitre
asked about control for weeds,recommended tospray paraquat 40ml10lit water
asked about varieties,recommended to choose icpl85063 or palnadu or lrg38
asked about remedy for zinc defficiency,recommended to spray znso4 2glit of water
asked about control for weeds,recommended to spray allachlore 1litreacre
asked about the control of fruit borer,recommended to spray prophenophos 2mllit of water
asked about information on drum seed technique,esc to atic
asked about weather data,answer given as per data
asked about the control of stem borer damage,recommended to spray cartap hydro chloride 2 gmltr
asked about the control of zinc defeciency,recommended for the application of zinc sulphate 2 gmltr
asked about control for leaffolder damage,recommended to spray chlorpyripos 25mllitre
asked about control for powdery mildew,recommended to spray dinocap 1mllit
asked about control of weeds in paddy,recommended to spray butachlore 15lt200lt water
asked about information on biofertilizer,esc to atic
asked about the control of zinc defeciency,recommended for the applicaton of zinc slphate 2 gmltr
asked about the fertilizer dosage,recommended dosage is 32 kgn 24 kgp 20kgk
asked about fertiliser dosage,recommended for the application 14kg n 44kg p14kg k
asked about the control of sheath blight,recommended to spray propiconozole 2mllit of water
asked about the control of stem borer,recommended to spray chloripyriphos 25mllit of water
asked about the control of hopper,recommended to spray carboryl 3glit of water
askeda about the control of fruit borer,recommended to spray prophenophos 2mllit of water
saked about the control of rust disease,recommended to spray mancoze4b 25glit of water
saked about the control of rust disease,recommended to spray mancoze4b 25glit of water
asked about the control of blast in paddy,recomended to spray tricyclazole 06grlit or adefenphos 1mllit
asked about the conreol of stem borer,recommended to spray chloripyriphos 25mllit of water
asked about the control of gundhibug,recomended for the application of monocrotophos 16mllit
asked about the control of greenleaf hopper,recomended for the application of monocrotophos 22 mllit
asked about the control of sheatrot,recomended for the application of benomyl 05glit
asked about the fertilizer dosage for rice nursery,recommended to apply 2kg n1kg p1kg k5 cents area
asked about the control of bph,recommended to apply carbofuran 3g 10kgacre
asked about control of sheath rot,recommended for the application of benomil 05gmlit
asked about the control of sheath rot,recommended to spray benomyl 05 grlit 2 times in 7 days interval
asked about the control of bph,recommended to spray ethofenphos 15 mllit
asked about the control of thrips,recommended to spray carbaryl 600gacre
asked about the sowing season,informed to sow during novemberjunuary
asked about the varieties,recommended varieties are mordendrsf108drsh1
asked about the sowing season,informed to sow during novemberjunuary
asked about the varieties,recommended varieties are mordendrsf108drsh1
asked about the control of weeds,recommended for the application of pendimithalin 15 ltracre
asked about the control of weeds,recommended for the application of pendimithalin 15 ltracre
asked about hybrid napiar grass varities and sowing season,informmed to that varities are apbs1igfri3co3igri10 and sowing seasonis from janavary to feb
asked about the control of flower drop,recommended for the appliation of naa and dap
asked about the varieties,recommended varieties are nlr33359rdr355nlr33057
asked about the varieties,recommended varieties are nlr33359rdr355nlr33057
asked about the control of fruit borer,recommended to spray profenophos 2 mllit
asked about the control of white fly,recommended to spray acephate 15glit of water
asked about the varieties,recommended varieties are 90a17690r597a85
asked about the varieties,recommended varieties are 90a17690r597a85
asked about the control for flower drop,recommended to spray planofyx 25ml10lit of water
asked about the control of fruit borer,recommended to spray profenophos 2 mllit
asked about the control of white fly,recommended to spray acephate 15glit of water
asked about the control for flower drop,recommended to spray planofyx 25ml10lit of water
asked about the control of weeds,recommended to spray atrazin 50 15kgacre to be mixed in 200 lit of water
asked about the control of early blight,recommended to spray mancozeb 3 grlit
asked about the control of early blight,recommended to spray mancozeb 3 grlit
asked about the control of flower drop,recommended to spray planofix 25ml10lit
asked about the control of flower drop,recommended to spray planofix 25ml10lit
asked about the weather report,informed him as per the reports provided
asked about the control of sheath rot,recommended to spray benomil 1 gr2lit
asked about the weather report of parvatipuram,informed as per the provided information
asked about the control of sheath rot,recommended to spray benomil 1 gr2lit
asked about the control of fruit borer,recommended to spray prophenophos 2mllit of water
asked about control of leafspot,recommended to spray mancozeb 3gmlit
asked about the control of blast,recommended to spray tricyclozole 05glit of water
asked about the sowing season,recommended to sow during januaryfebruary
asked about weather report,informmed as per provided data
asked about the control of weeds,recommended to spray butachlor 20lit200lit
asked about the control of midge fly,recommended to spray chloripyriphos 2mllit
asked about the control of early blight,recommended to sprayn copper oxy chloride 3gmltr
asked about the contrl of weeds,recomme4nded to psray paraquat 40ml10ltr
asked about the control of friuit dropin mango,recommendedto spray 1gr 24din 100ltr of water
asked about the control of suking pest in mango,recommended to spray phospomidon05mllit
asked about the control of fruit and shoot borer in brinjal,recommended to spray prophenophos 2mllt
asked about the control of bacterial wilt in brinjal,recommended to cypermethrin05mllit
asked about control for chilli thrips,recommeneded to spray acephate 15grlitre
asked about control for sucking pests,recommended to spray rogor 2mllitre
askec about the control of powdery mildew in cucurbits,recommended to spray metalaxyl mz2gramslitre
asked about the control of blast in rice,recommended to spray trycyclozole06grmsliter
asked about control for scales,recommended to spray rogor 2mllitre
asked about information for turkey birds,esc to 23311720
asked about control for rice blast,recommended to spray tricyclozole 120gr200 litres
asked about the control of sheath blight in paddy,recommended to spray hexaconazole2mlliter
asked about market price in maize,recommended market price 860rs
asked about market price in maize,recommended market price 860rs
asked about the control of weeds in sugar cane crop,recommended to spray metrobizin600grams45liters
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about control of weeds in sugar cane crop,recommended to atrazin 2kgacre
asked about control of stem borer in paddy,recommended to spray clorophiriphos 2ml1l water
asked about varieties,recommended to choose dhm varieties like 109 or 107
asked about the fertilizer dosage,recommended for the application of 200gm n200gm k per plant in equal parts at3570120180 das
asked about the fertilizer dosage,recommended for the application of 200gm n200gm k per plant in equal parts at3570120180 das
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about control of wilting of citrus plants,recommended to spray coc 3gm1l water
asked about seed treatment,recommended to apply carbendazim 25grkg seed
asked about the varieties,recommended varieties are co6907co t820185a26181a9981v4884a125
asked about flowering in papaya,recommended to spray planofix 25gm10lt
asked about the farm implements,gave him the information regarding farm implements
asked about information on rabbit farm,esc to ah
asked about the seedrate,recommended seedrate is 23 kgacre
asked about control for flower drop,recommended to spray planophix 25ml10 litres
asked about the rabbit rearing,esc to ah
asked about the sri cultivation,given the data as per provided
asked about control for sucking pests control,recommended to spray rogor 2mllitre
asked about rice varitie,recommended varitie is bpt5204
asked about control of rice stem borer in paddy,recommended to spray cqartaphydroch loride 8kgacre
asked about market information of sesamum,given as per data
asked about the information about the practice of sri vari sagu,provided him with the required information
asked about control for iron defficiency,recommended to spray annabedi 20gmlit water
asked about the varieties,recommended varieties are beneshantotapurimanjeeraneeleshan
asked about granules dosage in paddy,recommended to apply carofuran granules
asked about rabbit infprmation,esc animal husbandary
asked about control for leaffolder,recommended to spray cloropyripos 2mllit
asked about the control of stem borer,recommended for the application of cartaphydrochloride 2 gmltr
asked about the control of stem borer,recommended to spray acephate 15glit of water
asked about control of rice leaf folder,recommended to spray acephate 15gmlt
asked about control of sheath blight in paddy,recommended to spray hexaconazole 2mllt
asked about the fertilizer dosages,recomende for application as recording to the dosages given
asked about the cost of bajra narsaraopetvar,informed about the cost as max1000 rsquintal
asked about the cost of bajra narsaraopetvar,informed about the cost as max1000 rsquintal
asked about the control of iron defeciency,recommended for the application of 30 gm annabedhi 2gm lime saly per litre water
asked about the control of bph,recommended for the application of acephate 15 gmltr
asked about control of bph in rice,recommended to spray monocrotophos 22mllit
asked about the sowing time,informed to sow during october
asked about the control of termites,recommended to spray lindane 3 mllit
asked about the varities,suggested varities are lutinred tremphcardinal
asked about the weather report of parvatipuram,informed as per the provided information
asked about the control of flower drop,recommended to spray 24d 1gm100lit
asked about the control of blast,recommended to spray tricyclozole 05glit of water
asked about the control of blast,recommended to spray tricyclozole 05glit of water
asked about the varities that are suitable for rabi,suggested to go for ir64swathisomasheelapothana
asked about the varities that are suitable for rabi,suggested to go for ir64swathisomasheelapothana
asked about control of climbing cutworm,recommended for the application of endosulphon 2omldichlorvas 1mllit
asked about control of climbing cutworm,recommended for the application of endosulphon 2omldichlorvas 1mllit
asked about the weather,informed him as per the reports provided
asked about the control of sucking pest,recommended to spray dimethoate 2mllit
asked about the varieties,recommended varieties are vemanatmv2tirupathi14
asked about the control of cercospora leafspot,recommended to spray copperoxychloride 3gmlit
asked about the fertilizzer application,recommended to applay 90gm urea260gm single super phosphate140gm m o p every two months
asked about the control of rice blast,recommended to soray tricyclozole 06gmltr
asked about the control of zinc defeciency,recommended to apply zincsulphate 20kgacre
asked about the fertiliser recommdndation in paddy,recommended 482416
asked about the seed varieties of papaya,recommended red lady variety papaya
asked about control for stemborer,recommended to spray chloriphyriphos 2mllt
asked about recommendations of storage for span,recommended to store the span at 510 centigrade for one month
asked about the control of blast in rice,recommended to spray tricyclozole 006gmlt
asked about the control of sheath blight in paddy,recommended to spray hexaconazole2mllit
asked about the control of rice blast,recommended to spray trycycloze066gracre
asked about control for weeds,recommended to spray pendimethylin 15ltacre
asked about the control of broad leaf weeds in paddy,recommended to spray 24dethyl ester4grnules 4kgsacre
asked about the control of gallmidge,recommended to spray carbofuran 10 kgacre
asked about control for stem borer,recommended to apply cartaphydrochloride 4g granules 8kgacre
asked about the control of sheath blight in paddy,recommended to spray hexaconazole2mllit
asked about the control of blast in rice,recommended to spray tricyclozole 006gmlt
asked about the contropl of flower drop,recommended to provide nutrients and to spray planophix 1ml5ltr
asked abouyt the dosage of urea for third application,recommended to apply 20kg ureaacre
asked about control for leaf spots,recommended to spray bavistin 1grlitre
asked about the control of stem borer,recommended to spray monocrotophos2mllit
askede about the control of rice blast,recommended to spray tricyclozole 06gmltr
asked about control for mg deficiency,recommended to spray magnishiyam sulphate 10gmlt
asked about control forstem borer,recommended to spray cartaphydrochloride 4g 8kgacre
asked about the control of leaf webber in mango,recommended to spray quinolphos 2mllt
asked about control for gallmidge,recommended to apply phorate 10g 5kgacre
asked about remedy for the leaf drop,recommended to cut the leaves there is no other remedy
asked about control for broad leaved plants with monocot weeds in rice field,recommended to spray 4kgs butachlor mixed with 4kgs 24d and ethyl ester 4
asked about the control of tikka leaf spot in ground nut,recommended to spray chlorothalanil 2mllt
asked about control for stem borer damage,recommended to spray cortop hydrochloride 2grlitre
asked about control for gallmidge,recommended to apply phorate10g 5kgacre
asked about the control of stem borer,recommended to spray cartaphydrochloride 2gmltr
asked about control for weed,recommended to spray butachlore 16ltacre
asked about control for weed,recommended to spray benthiocarp 2ltacre
asked about the control of blast in paddy,recommended to spray trycyclozole6gramslit
asked about the fertilizer application,recommended fertilizers are 48kgn 24kgp 16kgk
asked about control for rice blast,recommended to spray tricyclozole 120gr200 litres
asked about control for weed,recommended to apply butachlore 152ltacre
asked about the control of sheath blight in paddy,recommended to spray hexaconazole2mllit
asked about the control of little leaf brinjal,recommended to spray methyl dematon 2mllt
asked about control for stem borer damage,recommended to apply cortop hydrochloride granules 8kgsacre
asked about market information,given information is 20002500
asked about control for weeds,recommended to spray paraquat 40ml10lt
asked about the control of blast in rice,recommended to spray tricyclozole 06gmlt
asked about the control of blast in paddy,recommended to spray trycycloze06gramslit
asked about the control of blast in paddy,recommended to spray trycyclozole06gramslit
asked that will there be any problem if there is growth of azolla in paddy field,informed that it is useful to the field and there is no problem with that
askedabout control for termites,recommended to spray chloryphyriphos 2mllt
asked about potassium deficiency,recommended to spray potassium sulphate 2gmlt
asked about the control of sheath rot,recommended to spray carbendazim 1gmltr
asked about application of neem oil,recommended to spray 5mllitre
asked about the control of helicoverpa in beans,recommended to spray quinolphos 2mllt
asked about the control of thrips in chillies,recommended to spray acephate15gramsliter
asked about the control of yellow stem borer,recommended to spray cartap hydro chloride25grmsliter
asked about control for sheath blight,recommended to spray hexaconazole 2mllt
asked about control for rice blast,recommended to spray tricyclozole 120gr200 litres acre
asked about control for leaf folder damage,recommended to spray chlorpyripos 25mllitre
asked about the control of bph,recommended to spray acephate 15 gmltr
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about control for weeds,recommended to spray pendimethaline 1316 litresacre
asked about control for sheath rot,recommended to spray benomil 05gmlt
asked about the control of bph in paddy,recommended to spray acephate 15grams liter
asked about control for weeds in between the coconut plants,recommended to spray stomp 1316 liters acre
asked about information on mushrooms,esc to mushrooms
asked about the control of stem borer,recommended to spray cartaphydrochloride 2gmltr
asked about the seed treatement,recommended to do seed treatement with rhizobium
asked about the control of sucking pest in ridge gourd,recommended to sprau acephate15gramsliter
asked about control for dieback fruit rot,recommended to apply capton 3gmlt
asked about the control of stem borer in rice,recommended to spray carbofuron 3g granules 10kgacre
asked about control for flower drop,recommended to spray planophix 1ml5litres
asked about control for sheath blight,recommended to spray hexaconazole 2mllt
asked about control for white fly,recommended to spray acephate 15gmlt
asked about the control of thrips,recdommended for the application of monocrotophas 15mlltr
asked about the control of blast in paddy,recommended to spray trycyclozole 06gramsliter
asked about information for animal husbandry research station phone no,given phone no is 08818284444
asked about the control of rice blast,recommended to spray tricyclozole 06 gmltr
asked about the control of sheath blight,recommended to spray hexaconozole 2 mlltr
asked about the control of termites in neem,recommended for the application of folidal
asked about control of bph in rice,recommended to apply etophenphos 15mllt
asked about the control of stem borer,recommended for the applicationof cartap hydrochloride 2 gmltr
asked about control for rice blast,recommended to spray beam 120gr 200 litres acre
asked about control for leaf folder,recommended to spray chlorpyripos 25mllitre
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about the control of termites,recommended to spray chloripyriphas 5mlltr
asked about the sowing season,recommended that it is from january to february
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about control for sooty mold damage,recommended to spray mono 16mllitre
asked about the control of yellow stem borer,recommended to spray endosulphan2mlliter
asked about the control of rice blast,recommended for the application of tricyclozole 06 gmltr
asked about the control of root rot in chillies,recommended to spray hexaconazole2mlliter
asked about control of thrips damage in chilli,recommended to spray rogar 2ml1l water
asked about the control of stem borer,recommended to spray cartaphydrochloride 2 gmltr
asked about the control of shoot and fruit borer,recommended to spray monocrotophgos2mlliter
asked about the control of shoot and fruit borer,recommended to spray monocrotophgos2mlliter
asked about how rippening the fruits,recommended to etherel 1ml1l water spray on bananas
asked about the control of flower drop,recommended for the application of napthalene acetic acid
asked about the control of thrips,recommended for the application of acephate 15 gmltr
asked about recommended varities to sorghum,recommended varities are nandyalatellajonna123
asked about the control of sheath blight,recommended to spray hexaconozole 2mlltr
asked about information on tissue culture in banana,given phone no 08813 231507
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about the control of bph in paddy,recommended to spray acephate15gramsliter
asked about the control of sheath blight in paddy,recommended to spray hexaconazole2mlliter
asked about the control of bph,recommended for the application of acephate 15 gmltr
asked about control for plant hoppers damage,recommended to spray ithophenphos 15mllitre
asked about control for plant hoppers damage,recommended to spray ithophenphos 15mllitre
asked about control of sheath rot in rice,recommended to spray benomyl 05mllt
asked about control of sheath rot in rice,recommended to spray benomyl 05mllt
asked about control for plant hoppers damage,recommended to spray apploud 33ml100 litres
asked about control of stem borer in paddy,recommended to spray clorophiriphos 2ml1l water
asked about the control of bph,recommended to spray acephate 15 gmltr
asked about market information,given information is rs29003800 quin
asked about market information,given information is rs29003800 quin
asked about control of stem borer in paddy,recommended to spray clorophiriphos 2ml1l water
asked about control of stem borer in paddy,recommended to spray clorophiriphos 2ml1l water
asked about control for stem borer damage,recommended to spray chlorpyripos 25mllitre
asked about control for stem borer damage,recommended to spray chlorpyripos 25mllitre
asked about control of rice blast,recommended to spray tricyclozole 06gmlt
asked about control of rice blast,recommended to spray tricyclozole 06gmlt
asked about control of chilli thrips,recommended to spray carbaril 3gm1l water
asked about varieties,recommended to choose dhm 107 or 109
asked about control for bph,recommended to spray acephate 15grlitre
asked about control of flower dropping in papaya,recommended to spray planophix 25ml10 l water
asked about the control of sucking pest,recommended for the application of dichlorovas 1 mlltr
asked about the varieties,recommended varieties are lgg407410460 wgg37
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about the control of blast in paddy,recommended to spray trycylozole06gramsliter
asked about the control of blast in paddy,recommended to spray trycylozole06gramsliter
asked about seed treatment in papaya,recommended to spray thiram 3gmkg seed
asked about seed treatment in papaya,recommended to spray thiram 3gmkg seed
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about the control of blast in paddy,recommendedv to spray trycyclozole06gramsliter
asked about the control of blast in paddy,recommendedv to spray trycyclozole06gramsliter
asked about control for rice blast,recommended to spray beam 120gr200 litres
asked about control for rice blast,recommended to spray beam 120gr200 litres
asked about information on grasses,given phone no 040 24001706
asked about information on grasses,given phone no 040 24001706
asked about the weather report,informed as per the provided reports
asked about the weather report,informed as per the provided reports
asked about the maize market rates,informed that it is rs 74oquintal
asked about the maize market rates,informed that it is rs 74oquintal
asked about control for weed control,recommended to spray pendimethaline 1316 litresacre
asked about control for weed control,recommended to spray pendimethaline 1316 litresacre
asked about market price of maize,given market information 850rsquitol
asked about market price of maize,given market information 850rsquitol
asked about the weather report,informed as per the reports provided
asked about the weather report,informed as per the reports provided
asked about control for rottening,recommended to supply the water with bleaching powder 25grlitre
asked about control for rottening,recommended to supply the water with bleaching powder 25grlitre
asked about the control of leaf webber and skeletenizer,recommended for the application of quinolphas 2mlltr
asked about the control of leaf webber and skeletenizer,recommended for the application of quinolphas 2mlltr
insect damage in coconut,root feeding technique10ml monocrotophos10ml water apply to root with slant cut
attack of bph patch burning of field,recommanded to spray acphate2mllit water
asked about variety of greengram,recommanded varity lgg407410
spodoptera damage in greengram,chloropyriphos 15mllt of water
asked about rotation of crop,esc to atic
asked about leaf folder in paddy,recommanded spray acephate15grltr of water apply
asked about variety of tomato,recommanded varieties arka vikas
ask about flowering not development for a long duration in lemone,recommanded to apply borax powder
ask about implements,esc to farm implements
hispa damage in paddy,spray quinolphos 2mllt of water
information rgarding farm implements,esc to farm implements section
asked about the remedy for making fish pond into cultivable land,esc to atic
askeed about the market rate,informed as per the reports provided
asked about control of stem borer in brinjal,recommended to spray carbaril 3gm1l water
asked about control of fruit dropping in citrus,recommended to spray planofix 25ml10 l water
asked about information on animal husbandry,esc to ah
asked about information on variety bio226,esc to atic
asked about the control of stem borer,recommended to spray cartap hydrochloride 2 gmltr
asked about control of fruit dropping in citrus,recommended to spray planophix 25ml10l water
asked about the control of fruit and shoot borer in brinjal,recommended to spray endosulkphan2mlliter
asked about the information regarding eucalyptus cultivation,esc to manage
asked about the control of fruit and shoot borer in brinjal,recommended to spray endosulphan2mlliter
asked about the market rate for turmeric in their markewt yard,informed him as per the reports provided
asked about the control of bph in paddy,recommended to spray applaud1liter3acres
asked about the control of pod boere in greengram,recommended to spray endosulphan2mlliter
asked about the control of pod boerer in green gram,recommended to spray endosulphan2mlliter
asked about varieties,recommended to choose malini or suravi or suruchi
asked about the market rate,informed as per the reports provided
asked about the control of flower drop,recommended to spray planophix 1 ml5 ltr
asked about information on imroved sonamasoori variety,esc to drr
asked about the varities of paddy which are suitable to water logging areas,suggested to grow mtu1061pla1100
asked about the weather report,informed as per the reports provided
asked about control of rice blast,recommended to spray tricyclozole 06gmlt
askedthe information on drip irrigation,given the informatipon as per provided
asked about control for weeds,recommended to spray pendimethaline 1316 litreacre
asked about the seed variety details,recommended to contact local districs jda
asked about market information for ir 64 variety,given information rs 730quin
asked about fertilizer application for oilpalm,recommended to apply 870gr urea 1250gr ssp 667gr mop 125gr mgso4
asked about control for sucking pests damage,recommended to spray profenophos 2mllitre
asked about the control of rhizome rot,recommended to spray copperoxychloride and monocrotophas
asked about varities,recommended varities safedkohir
asked about control for sucking pests,recommended to spray rogor 2mllitre
asked about varieties,recommended to choose mtu varieties
asked about the maketing infomation of the farm implements,esc to dom
asked written information about the mushroom cultivation,esc to manage
asked about vaireites which are having 160180 days duration,recommended to choose nlr 28600 or 33365 or 28523 or improved sonamasoori
asked about the control of flower dropping in coconut,suggested to apply potash at required quantity
asked about seed treatment,recommended to treat the seed with carbendazim 25grseed
asked about tissu culture varities,given to no 9490490304
asked about varities of rice,recommended varities are improved sonamasoori
asked about control for thrips damage,recommended to spray chlorpyripos 25mllitre
asked about varieties which are resistant for bph,recommended to choose improved sambamasoori or bpt4358
asked about seed treatment,seed treatment with raizobium
asked about the control of fruitlet drop,recommended to spray blitox 3gmltr and to apply potash
asked about the market rate,informed as per the reports provided
asked about seed treatment,recommended to treat the seed with carbendazim 25grkg seed
asked about the control of powdery mildew,suggested to spray carathane1mllit or balatane1glit of water
asked about control of rice blast,recommended to spray treicyclozole 06gmlt
